i,fecha,I,MR,S,a,r
39,3/1/20,5,0,99996.0,0.9166666666666666,91662.75
40,3/2/20,5,0,99995.0,0.25,24998.75
45,3/7/20,6,0,99994.0,0.2,19998.8
47,3/9/20,7,0,99993.0,0.16666666666666666,16665.499999999996
50,3/12/20,12,0,99992.0,-0.35714285714285715,-35711.92857142857
51,3/13/20,12,0,99988.0,0.125,12498.5
53,3/15/20,41,0,99974.0,0.042124542124542134,4210.782051282052
54,3/16/20,53,0,99959.0,0.01894934333958724,1893.8647279549716
55,3/17/20,82,0,99947.0,-0.021207240374290535,-2120.147223500537
56,3/18/20,93,0,99918.0,0.014242188615770347,1422.916855769078
57,3/19/20,118,1,99907.0,-0.0122428057125146,-1223.4108075244974
58,3/20/20,164,1,99881.0,-0.004654357852826963,-465.27174720668444
59,3/21/20,203,2,99835.0,0.0033049050092564306,329.707386721067
60,3/22/20,251,2,99795.0,3.379190195842846e-05,3.1358096539709246
61,3/23/20,316,3,99747.0,-0.00046897794699690573,-47.03810742252665
62,3/24/20,367,4,99681.0,0.0014783596721667223,147.20297807618778
63,3/25/20,405,5,99629.0,0.001112503283285886,110.73404737615711
64,3/26/20,475,6,99590.0,-0.0017768531241131903,-177.12964213660547
65,3/27/20,585,8,99519.0,-0.000827316073177205,-82.56524723389069
66,3/28/20,717,12,99407.0,5.301715828031613e-05,5.0446356275303605
67,3/29/20,848,16,99271.0,0.00031570078948863097,31.157227355055312
68,3/30/20,993,20,99136.0,8.677890542841466e-05,8.43192300251358
69,3/31/20,1094,28,98987.0,0.0004649569271847341,45.92297936734806
70,4/1/20,1215,29,98878.0,-8.157162191932422e-05,-8.176242122815356
71,4/2/20,1378,37,98756.0,-0.0001930580977410347,-19.199801879114442
72,4/3/20,1510,50,98585.0,0.00022435893069850434,22.02263418146067
73,4/4/20,1688,60,98440.0,-0.00015234340172833068,-15.11456526083886
74,4/5/20,1890,79,98252.0,-9.507722039951453e-06,-1.0538209523148079
75,4/6/20,2143,94,98031.0,-6.422709238432679e-05,-6.430108527390373
76,4/7/20,2439,125,97763.0,-1.590183282050593e-05,-1.6927350070894507
77,4/8/20,2785,141,97436.0,-1.142903228090733e-05,-1.2554606079366726
78,4/9/20,3181,174,97074.0,-9.085264980029314e-07,-0.23038460647359976
79,4/10/20,3441,194,96645.0,0.0001409207502161797,13.537550601278966
80,4/11/20,3844,233,96365.0,-0.00012636362054783932,-12.294147411209654
81,4/12/20,4219,273,95923.0,4.425901928503384e-05,4.147903276285168
82,4/13/20,4661,296,95508.0,-1.7372365133961057e-05,-1.7639640113380786
